1000; 999200;
2000; 3990700;
3000; 10971900;
4000; 17953200;
5000; 28305300;
6000; 40924700;
7000; 54854300;
8000; 73803800;
9000; 90758600;
10000; 114723800;
20000; 455810700;
30000; 1117012700;
40000; 1947828600;
50000; 2881264600;
60000; 4148947800;
70000; 5762151700;
80000; 7279920400;
90000; 9284086400;
100000; 11958845100;
500000; 298326715800;
